id,filename,pdf_page,printed_page,visible_title,category,width_px,height_px,format
1,artwork_01_pdf_page_08.png,8,6,,graphics-birds,639,739,PNG
2,artwork_02_pdf_page_09.png,9,7,Лесополоса,graphics,741,637,PNG
3,artwork_03_pdf_page_10.png,10,8,,graphics-birds,639,738,PNG
4,artwork_04_pdf_page_11.png,11,9,Тутовник,graphics-animals,639,738,PNG
5,artwork_05_pdf_page_12.png,12,10,Урожайный год,graphics,740,641,PNG
6,artwork_06_pdf_page_14.png,14,12,Старый карагач,graphics-people,740,640,PNG
7,artwork_07_pdf_page_16.png,16,14,,graphics-birds,644,745,PNG
8,artwork_08_pdf_page_18.png,18,16,Февраль,graphics,641,744,PNG
9,artwork_09_pdf_page_20.png,20,18,Дожди прошли,graphics,640,738,PNG
10,artwork_10_pdf_page_21.png,21,19,Кружева,graphics-birds,747,643,PNG
11,artwork_11_pdf_page_22.png,22,20,,graphics-birds,741,643,PNG
12,artwork_12_pdf_page_24.png,24,22,Побеги,graphics,512,755,PNG
13,artwork_13_pdf_page_26.png,26,24,Артезиан,graphics,637,741,PNG
14,artwork_14_pdf_page_28.png,28,26,Обитель,graphics,643,744,PNG
15,artwork_15_pdf_page_30.png,30,28,Лоза,graphics-animals,741,640,PNG
16,artwork_16_pdf_page_32.png,32,30,,graphics-birds,736,640,PNG
17,artwork_17_pdf_page_33.png,33,31,,graphics-birds,641,739,PNG
18,artwork_18_pdf_page_34.png,34,32,Ива,graphics-birds,639,738,PNG
19,artwork_19_pdf_page_36.png,36,34,,graphics-birds,639,744,PNG
20,artwork_20_pdf_page_38.png,38,36,,graphics-animals,508,757,PNG
21,artwork_21_pdf_page_40.png,40,38,Патриарх,graphics-birds,644,742,PNG
22,artwork_22_pdf_page_42.png,42,40,,graphics,740,644,PNG
23,artwork_23_pdf_page_44.png,44,42,,graphics-birds,745,451,PNG
24,artwork_24_pdf_page_46.png,46,44,Отдых в пути,graphics,743,640,PNG
25,artwork_25_pdf_page_47.png,47,45,,graphics-people,640,738,PNG
26,artwork_26_pdf_page_48.png,48,46,,graphics-animals,508,759,PNG
27,artwork_27_pdf_page_49.png,49,47,,graphics-birds,512,758,PNG
28,artwork_28_pdf_page_52.png,52,,,graphics-animals,483,558,PNG
